ci_id,name,category,status,location,version,purpose,persistence,evidence,notes,owner,reviewed_on,baseline_commit
PP-SVC-001,Project Planner KANBAN BOARD,Usługa aplikacyjna,Zaimplementowana,repozytorium aplikacji,95f62b103b971fdd07a63fce4a7180263efb0833,Zarządzanie zadaniami na tablicy Kanban,Nie dotyczy,README.md; app.py,Właściciel biznesowy i techniczny nieustaleni,Do ustalenia,2026-09-11,95f62b103b971fdd07a63fce4a7180263efb0833
PP-APP-001,Backend i formularze aplikacji,Kod aplikacji,Zaimplementowany,app.py,95f62b103b971fdd07a63fce4a7180263efb0833,"Obsługa formularzy, walidacji i zapisu zadań",Kod w Git,app.py: add_task; apply_board_edit; on_board_change,Brak logowania i uprawnień użytkowników w kodzie,Do ustalenia,2026-09-11,95f62b103b971fdd07a63fce4a7180263efb0833
PP-UI-001,Interfejs tablicy Kanban,HTML/CSS/JavaScript,Zaimplementowany,app.py: build_board_html,95f62b103b971fdd07a63fce4a7180263efb0833,"Karty, kolumny, przeciąganie, edycja, inicjały i wybór osób",Stan interfejsu w przeglądarce,app.py: build_board_html,Zmiany zadań wysyłane do backendu przez komponent,Do ustalenia,2026-09-11,95f62b103b971fdd07a63fce4a7180263efb0833
PP-CMP-001,Komponent komunikacji tablicy,Komponent Streamlit v1,Zaimplementowany,assets/kanban_component/index.html,95f62b103b971fdd07a63fce4a7180263efb0833,Przekazywanie zdarzeń i potwierdzeń zapisu między tablicą a Streamlit,Kod w Git,assets/kanban_component/index.html; app.py: kanban_component,Zagnieżdżone iframe; postMessage; brak osobnego serwera API,Do ustalenia,2026-09-11,95f62b103b971fdd07a63fce4a7180263efb0833
PP-ENV-001,Lokalne środowisko PP,Środowisko aplikacji,Potwierdzone lokalnie,/home/sebastian/Projekty/PP,Stan lokalny 2026-09-11,Katalog kodu i danych aplikacji,Lokalny system plików,Kontrola istnienia katalogu i plików,"Nie potwierdzono serwera produkcyjnego, domeny ani sposobu uruchamiania usługi",Do ustalenia,2026-09-11,95f62b103b971fdd07a63fce4a7180263efb0833
PP-RTE-001,Python w .venv,Środowisko wykonawcze,Zainstalowane,.venv/bin/python,3.12.3,Uruchamianie aplikacji i testów,Środowisko odtwarzalne; poza Git,sys.version; sys.executable,Używać wirtualnego środowiska projektu,Do ustalenia,2026-09-11,95f62b103b971fdd07a63fce4a7180263efb0833
PP-PKG-001,Streamlit,Zależność Python,Zainstalowana,.venv,Wymagana: 1.60.0; lokalna: 1.63.0,"Serwer aplikacji, formularze i komponenty",Pakiet w .venv,requirements.txt; importlib.metadata.version(streamlit),Wykryto rozbieżność wersji; nie zmieniono jej w ramach CMDB,Do ustalenia,2026-09-11,95f62b103b971fdd07a63fce4a7180263efb0833
PP-CFG-001,Zależności zadeklarowane,Konfiguracja wersji,W Git,requirements.txt,streamlit==1.60.0,Wskazanie bezpośredniej zależności aplikacji,Plik w Git,requirements.txt,Plik nie przypina pełnego zestawu zależności pośrednich,Do ustalenia,2026-09-11,95f62b103b971fdd07a63fce4a7180263efb0833
PP-CFG-002,Wartości domyślne aplikacji,Konfiguracja aplikacji,Zaimplementowana,app.py: DEFAULT_*,95f62b103b971fdd07a63fce4a7180263efb0833,"Domyślne statusy, role, projekty, kolory i osoby",Kod w Git,app.py: DEFAULT_STATUSES; DEFAULT_PEOPLE; DEFAULT_PROJECT_IDS; DEFAULT_PROJECT_COLORS; DEFAULT_USERS,Nie zawarto adresów osób w rejestrze CMDB,Do ustalenia,2026-09-11,95f62b103b971fdd07a63fce4a7180263efb0833
PP-DAT-001,Baza zadań CSV,Dane aplikacji,Plik istnieje lokalnie,project_planner_actions.csv,Schemat z polem id,Trwałe przechowywanie pól zadań i odwołań do załączników,Plik na serwerze aplikacji; wykluczony z Git,app.py: TASK_CSV_FIELDS; write_tasks_to_csv; .gitignore,"Nie zawiera komentarzy, historii aktywności ani treści plików",Do ustalenia,2026-09-11,95f62b103b971fdd07a63fce4a7180263efb0833
PP-DAT-002,Przesłane załączniki,Pliki aplikacji,Obsługiwane; katalog nie istnieje lokalnie,attachments/<podfolder-zadania>/,Układ definiuje add_attachments_to_task,Przechowywanie bajtów plików dołączanych do istniejących zadań,Pliki na serwerze aplikacji po przesłaniu,app.py: ATTACHMENTS_DIR; add_attachments_to_task; kontrola istnienia katalogu,Formularz tworzenia i edytor karty zapisują obecnie nazwy nowych uploadów; pełny zapis plików obsługuje akcja Attach files,Do ustalenia,2026-09-11,95f62b103b971fdd07a63fce4a7180263efb0833
